dataset,case_name,algorithm,pair_npz,result_file,status,elapsed_time_s,chosen_direction,point_rmse_forward_mm,point_rmse_inverse_mm,rmse_mm,mi,dice,asd_mm,assd_mm,hd95_mm,tre95_mm,tre_mean_mm,message
AbdomenMRCT_CT_MRI,AbdomenMRCT_0005__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0005_CT_to_MRI_mixed_result.mat,success,2.103903,forward,6.902613335111796,20.279756879284996,nan,0.04196580767675058,0.573506631813341,8.95273879367585,11.07984836958681,26.153393661244042,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0005__CT_to_MRI_mixed,random_baseline,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/random_baseline/data/AbdomenMRCT_0005_CT_to_MRI_mixed_result.mat,success,0.698241,forward,6.8034370029136175,19.798848490323195,nan,0.04324223801887547,0.5696391913990466,8.88452194038266,11.204126615957826,27.85677655436824,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0005__CT_to_MRI_mixed,icp,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/icp/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed_icp.npz,success,1.6012890338897705,forward,6.169239717247607,23.24212742696691,nan,0.04663031823806457,0.5914952196538787,7.445977297571094,10.576652360837446,32.802438933713454,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0005__CT_to_MRI_mixed,fgr,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/fgr/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed_fgr.npz,success,0.510901927947998,forward,6.578085047929403,20.166609870677508,nan,0.042158168571089664,0.5751265787359825,8.37254239653076,10.87704190518416,28.635642126552707,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0005__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed_ants.npz,success,3.193615198135376,inverse,13.131758495560494,10.327951239144346,nan,0.08703947914308473,0.4306983864770255,10.354980739362079,15.433130242956054,50.47771785649585,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0006__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0006_CT_to_MRI_mixed_result.mat,success,0.622624,forward,5.865306679394926,33.74130190179829,nan,0.048961829186987944,0.7216913747613009,6.781761650520304,7.93512998899155,19.79898987322333,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0006__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0006_CT_to_MRI_mixed_result.mat,success,2.013914,forward,5.796366590322169,34.06851061718198,nan,0.05012969547254965,0.7244215010814682,6.657739709121594,7.870091446460943,20.0,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0006__CT_to_MRI_mixed,random_baseline,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/random_baseline/data/AbdomenMRCT_0006_CT_to_MRI_mixed_result.mat,success,0.523983,forward,5.540941659580916,35.94328133409691,nan,0.05485486206646298,0.7311365963696261,6.2345582850104595,7.739360995762166,20.8806130178211,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0006__CT_to_MRI_mixed,icp,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/icp/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed_icp.npz,success,1.4526453018188477,forward,5.55357515885686,35.58216281515388,nan,0.050430169054957244,0.7255939896754491,6.352695776613193,8.033641886827112,25.612496949731394,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0006__CT_to_MRI_mixed,fgr,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/fgr/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed_fgr.npz,success,0.33018064498901367,forward,5.939779422639034,33.452531691212755,nan,0.05818776391537302,0.7249677461678073,6.575663012254817,7.912960974074833,20.09975124224178,nan,nan,
